"Item_Identifier","Item_Category","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Years_Open","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales"
"B42","NC",11.8,"Low Fat",0.008596051,"Health and Hygiene",115.3492,4,"OUT018","Medium","Tier 3","Supermarket Type2",1621.8888
"P49","FD",9,"Regular",0.069196376,"Breakfast",54.3614,14,"OUT049","Medium","Tier 1","Supermarket Type1",718.3982
"I11","DR",11.4003278688525,"Low Fat",0.034237682,"Hard Drinks",113.2834,28,"OUT027","Medium","Tier 3","Supermarket Type3",2303.668
"U02","FD",13.35,"Low Fat",0.10249212,"Dairy",230.5352,9,"OUT035","Small","Tier 2","Supermarket Type1",2748.4224
"N22","FD",18.85,"Regular",0.138190277,"Snack Foods",250.8724,26,"OUT013","High","Tier 3","Supermarket Type1",3775.086
"W12","FD",12.2771082089552,"Regular",0.035399923,"Baking Goods",144.5444,28,"OUT027","Medium","Tier 3","Supermarket Type3",4064.0432
"B30","NC",14.6,"Low Fat",0.025698134,"Household",196.5084,9,"OUT035","Small","Tier 2","Supermarket Type1",1587.2672
"C37","FD",12.2771082089552,"Low Fat",0.057556998,"Baking Goods",107.6938,28,"OUT019","Small","Tier 1","Grocery Store",214.3876
"R28","FD",13.85,"Regular",0.025896485,"Frozen Foods",165.021,16,"OUT046","Small","Tier 1","Supermarket Type1",4078.025
"D06","NC",13,"Low Fat",0.099887103,"Household",45.906,6,"OUT017","Small","Tier 2","Supermarket Type1",838.908
"V10","FD",7.645,"Regular",0.066693437,"Snack Foods",42.3112,9,"OUT035","Small","Tier 2","Supermarket Type1",1065.28
"J59","DR",11.65,"Low Fat",0.019356132,"Hard Drinks",39.1164,26,"OUT013","High","Tier 3","Supermarket Type1",308.9312
"E51","FD",5.925,"Regular",0.161466534,"Dairy",45.5086,15,"OUT010","Medium","Tier 3","Grocery Store",178.4344
"C14","FD",12.3057050092764,"Regular",0.072221801,"Canned",43.6454,28,"OUT019","Small","Tier 1","Grocery Store",125.8362
"V38","FD",19.25,"Low Fat",0.170348551,"Dairy",55.7956,15,"OUT010","Medium","Tier 3","Grocery Store",163.7868
"S17","NC",18.6,"Low Fat",0.080829372,"Health and Hygiene",96.4436,4,"OUT018","Medium","Tier 3","Supermarket Type2",2741.7644
"P33","FD",18.7,"Low Fat",0,"Snack Foods",256.6672,4,"OUT018","Medium","Tier 3","Supermarket Type2",3068.0064
"O23","FD",17.85,"Low Fat",0,"Breads",93.1436,11,"OUT045","Small","Tier 2","Supermarket Type1",2174.5028
"H01","DR",17.5,"Low Fat",0.097904029,"Soft Drinks",174.8738,16,"OUT046","Small","Tier 1","Supermarket Type1",2085.2856
"X29","NC",10,"Low Fat",0.089291137,"Health and Hygiene",146.7102,14,"OUT049","Medium","Tier 1","Supermarket Type1",3791.0652
"V20","FD",13.2247693817468,"Regular",0.059511812,"Fruits and Vegetables",128.0678,28,"OUT027","Medium","Tier 3","Supermarket Type3",2797.6916
"Z11","DR",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,4,"OUT018","Medium","Tier 3","Supermarket Type2",1609.9044
"X10","FD",12.9878795546559,"Regular",0.123111453,"Snack Foods",36.9874,28,"OUT027","Medium","Tier 3","Supermarket Type3",388.1614
"B34","FD",12.9878795546559,"Low Fat",0.026480954,"Snack Foods",87.6198,28,"OUT027","Medium","Tier 3","Supermarket Type3",2180.495
"U02","FD",13.35,"Low Fat",0.102511504,"Dairy",230.6352,16,"OUT046","Small","Tier 1","Supermarket Type1",3435.528
"K43","FD",9.8,"Low Fat",0.02681843,"Meat",126.002,26,"OUT013","High","Tier 3","Supermarket Type1",2150.534
"A46","FD",13.6,"Low Fat",0.117818348,"Snack Foods",192.9136,14,"OUT049","Medium","Tier 1","Supermarket Type1",2527.3768
"C02","FD",21.35,"Low Fat",0.069102831,"Canned",259.9278,4,"OUT018","Medium","Tier 3","Supermarket Type2",6768.5228
"L50","FD",12.15,"Regular",0.042277867,"Canned",126.5046,26,"OUT013","High","Tier 3","Supermarket Type1",373.5138
"M39","FD",6.42,"Low Fat",0.089498926,"Dairy",178.1002,15,"OUT010","Medium","Tier 3","Grocery Store",358.2004
"P05","NC",19.6,"Low Fat",0,"Health and Hygiene",153.3024,11,"OUT045","Small","Tier 2","Supermarket Type1",2428.8384
"V49","FD",10,"Low Fat",0.025879577,"Canned",265.2226,11,"OUT045","Small","Tier 2","Supermarket Type1",5815.0972
"L12","FD",15.85,"Regular",0.121632721,"Baking Goods",60.622,16,"OUT046","Small","Tier 1","Supermarket Type1",2576.646
"S02","FD",13.4260689045936,"Regular",0.255394896,"Dairy",196.8794,28,"OUT019","Small","Tier 1","Grocery Store",780.3176
"L17","NC",7.39,"Low Fat",0.067779712,"Health and Hygiene",143.8812,16,"OUT046","Small","Tier 1","Supermarket Type1",3134.5864
"M40","FD",10.195,"Low Fat",0.159803853,"Frozen Foods",141.5154,26,"OUT013","High","Tier 3","Supermarket Type1",850.8924
"R13","FD",9.895,"Regular",0.028696932,"Canned",117.0492,26,"OUT013","High","Tier 3","Supermarket Type1",810.9444
"A43","FD",10.895,"Low Fat",0.065041581,"Fruits and Vegetables",196.3794,6,"OUT017","Small","Tier 2","Supermarket Type1",3121.2704
"P18","NC",12.15,"Low Fat",0.028760013,"Household",151.4708,6,"OUT017","Small","Tier 2","Supermarket Type1",4815.0656
"K21","FD",7.905,"Low Fat",0.010053105,"Snack Foods",249.0408,4,"OUT018","Medium","Tier 3","Supermarket Type2",6258.52
"X54","NC",9.195,"Low Fat",0.048157338,"Household",106.1622,11,"OUT045","Small","Tier 2","Supermarket Type1",2117.244
"K35","DR",8.365,"Low Fat",0.071958197,"Hard Drinks",38.0506,14,"OUT049","Medium","Tier 1","Supermarket Type1",796.9626
"Y21","FD",15.1,"Low Fat",0.173481304,"Snack Foods",194.511,16,"OUT046","Small","Tier 1","Supermarket Type1",4910.275
"I26","FD",12.3057050092764,"Low Fat",0.061082177,"Canned",180.0344,28,"OUT019","Small","Tier 1","Grocery Store",892.172
"M20","FD",10,"Low Fat",0,"Fruits and Vegetables",246.9144,4,"OUT018","Medium","Tier 3","Supermarket Type2",3185.1872
"V27","FD",7.97,"Regular",0.040071131,"Meat",87.3514,11,"OUT045","Small","Tier 2","Supermarket Type1",1062.6168
"F09","FD",13.2247693817468,"Low Fat",0.012090074,"Fruits and Vegetables",38.2848,28,"OUT027","Medium","Tier 3","Supermarket Type3",484.7024
"Y40","FD",12.867061281337,"Regular",0.15028599,"Frozen Foods",51.0692,28,"OUT019","Small","Tier 1","Grocery Store",147.8076
"Y45","FD",12.9878795546559,"Low Fat",0.026015519,"Snack Foods",255.8356,28,"OUT027","Medium","Tier 3","Supermarket Type3",2543.356
"C46","FD",17.7,"Low Fat",0.195068226,"Snack Foods",185.4266,15,"OUT010","Medium","Tier 3","Grocery Store",184.4266
"H19","FD",19.35,"Low Fat",0.033082215,"Meat",172.5738,9,"OUT035","Small","Tier 2","Supermarket Type1",4865.6664
"Z03","FD",13.65,"Regular",0.078946455,"Dairy",186.024,11,"OUT045","Small","Tier 2","Supermarket Type1",1118.544
"H37","DR",17.6,"Low Fat",0.041700756,"Soft Drinks",164.8526,11,"OUT045","Small","Tier 2","Supermarket Type1",2302.3364
"I17","NC",8.645,"Low Fat",0.143422643,"Health and Hygiene",95.841,16,"OUT046","Small","Tier 1","Supermarket Type1",2027.361
"J58","FD",15.6,"Regular",0.105296072,"Snack Foods",170.1764,16,"OUT046","Small","Tier 1","Supermarket Type1",3435.528
"L12","FD",15.85,"Regular",0.121531501,"Baking Goods",59.222,26,"OUT013","High","Tier 3","Supermarket Type1",599.22
"H35","FD",18.25,"Low Fat",0,"Starchy Foods",164.7526,11,"OUT045","Small","Tier 2","Supermarket Type1",4604.6728
"G02","FD",7.855,"Low Fat",0.011324862,"Canned",189.6188,6,"OUT017","Small","Tier 2","Supermarket Type1",2285.0256
"Z18","NC",7.825,"Low Fat",0.186357148,"Household",254.3698,14,"OUT049","Medium","Tier 1","Supermarket Type1",5580.7356
"C29","FD",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,16,"OUT046","Small","Tier 1","Supermarket Type1",2290.352
"Q10","FD",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,14,"OUT049","Medium","Tier 1","Supermarket Type1",1207.0954
"N48","FD",12.2771082089552,"Low Fat",0.113720344,"Baking Goods",89.9804,28,"OUT019","Small","Tier 1","Grocery Store",643.1628
"L04","FD",19,"Low Fat",0.112556507,"Frozen Foods",104.9622,6,"OUT017","Small","Tier 2","Supermarket Type1",1587.933
"V25","FD",5.905,"Low Fat",0,"Canned",222.5456,11,"OUT045","Small","Tier 2","Supermarket Type1",5305.0944
"D58","FD",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,16,"OUT046","Small","Tier 1","Supermarket Type1",1697.79
"N04","FD",11.8,"Regular",0.014087057,"Frozen Foods",180.3344,16,"OUT046","Small","Tier 1","Supermarket Type1",1427.4752
"V45","FD",16.75,"Low Fat",0.045230944,"Snack Foods",187.9556,4,"OUT018","Medium","Tier 3","Supermarket Type2",4693.89
"L18","NC",13.3847364953887,"Low Fat",0.293417759,"Household",194.6136,28,"OUT019","Small","Tier 1","Grocery Store",583.2408
"R12","FD",12.2771082089552,"Regular",0.031382044,"Baking Goods",171.3764,28,"OUT027","Medium","Tier 3","Supermarket Type3",3091.9752
"G20","FD",15.5,"Regular",0.12639886,"Fruits and Vegetables",177.0028,6,"OUT017","Small","Tier 2","Supermarket Type1",2479.4392
"Z55","FD",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,9,"OUT035","Small","Tier 2","Supermarket Type1",2716.464
"Q49","FD",12.768202247191,"Regular",0.039057677,"Breakfast",155.963,28,"OUT027","Medium","Tier 3","Supermarket Type3",3285.723
"N33","FD",6.305,"Regular",0.123115764,"Snack Foods",95.6436,16,"OUT046","Small","Tier 1","Supermarket Type1",661.8052
"N27","FD",20.85,"Low Fat",0.039624006,"Meat",117.2808,14,"OUT049","Medium","Tier 1","Supermarket Type1",1523.3504
"W20","FD",20.75,"Low Fat",0.040421193,"Fruits and Vegetables",122.173,15,"OUT010","Medium","Tier 3","Grocery Store",369.519
"G27","DR",8.895,"Low Fat",0.105274111,"Dairy",39.9138,14,"OUT049","Medium","Tier 1","Supermarket Type1",690.4346
"I25","DR",19.6,"Low Fat",0.033970195,"Soft Drinks",55.1614,11,"OUT045","Small","Tier 2","Supermarket Type1",1381.535
"A44","FD",19.7,"Low Fat",0.053212652,"Fruits and Vegetables",57.893,9,"OUT035","Small","Tier 2","Supermarket Type1",622.523
"R17","NC",9.8,"Low Fat",0.024378706,"Health and Hygiene",114.5492,9,"OUT035","Small","Tier 2","Supermarket Type1",1274.3412
"U04","FD",12.867061281337,"Low Fat",0.009714595,"Frozen Foods",120.0414,28,"OUT019","Small","Tier 1","Grocery Store",487.3656
"F41","FD",12.15,"Low Fat",0.131383762,"Frozen Foods",246.046,14,"OUT049","Medium","Tier 1","Supermarket Type1",1231.73
"B56","FD",8.75,"Regular",0.07461309,"Fruits and Vegetables",187.4556,9,"OUT035","Small","Tier 2","Supermarket Type1",3755.112
"P18","NC",13.3847364953887,"Low Fat",0.028459761,"Household",149.9708,28,"OUT027","Medium","Tier 3","Supermarket Type3",4363.6532
"B56","FD",8.75,"Regular",0.074627201,"Fruits and Vegetables",187.8556,16,"OUT046","Small","Tier 1","Supermarket Type1",1314.2892
"T28","FD",13.3,"Low Fat",0.063695084,"Frozen Foods",151.0708,11,"OUT045","Small","Tier 2","Supermarket Type1",1805.6496
"D10","FD",12.9878795546559,"Regular",0.045797829,"Snack Foods",178.5344,28,"OUT027","Medium","Tier 3","Supermarket Type3",2854.9504
"W57","FD",8.31,"Regular",0.115857223,"Snack Foods",179.1028,14,"OUT049","Medium","Tier 1","Supermarket Type1",3896.2616
"B48","DR",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,26,"OUT013","High","Tier 3","Supermarket Type1",667.7974
"P09","FD",19.75,"Low Fat",0.034027909,"Snack Foods",212.0902,4,"OUT018","Medium","Tier 3","Supermarket Type2",3185.853
"H14","FD",17.1,"Regular",0.0467696,"Canned",141.1838,26,"OUT013","High","Tier 3","Supermarket Type1",2247.7408
"A47","FD",10.5,"Regular",0.116576702,"Baking Goods",163.121,26,"OUT013","High","Tier 3","Supermarket Type1",1794.331
"G12","FD",6.635,"Regular",0,"Baking Goods",121.3098,11,"OUT045","Small","Tier 2","Supermarket Type1",2530.7058
"E60","DR",11.8474598930481,"Low Fat",0.278974075,"Soft Drinks",225.372,28,"OUT019","Small","Tier 1","Grocery Store",679.116
"K49","DR",14.15,"Low Fat",0.035913805,"Soft Drinks",41.4138,26,"OUT013","High","Tier 3","Supermarket Type1",812.276
"D03","FD",13.3,"Low Fat",0.079806266,"Dairy",232.53,16,"OUT046","Small","Tier 1","Supermarket Type1",699.09
"S52","FD",8.89,"Low Fat",0.005505481,"Frozen Foods",102.4016,6,"OUT017","Small","Tier 2","Supermarket Type1",2732.4432
"W39","FD",12.8173442136499,"Regular",0.064625342,"Meat",176.937,28,"OUT019","Small","Tier 1","Grocery Store",176.437
"X34","FD",12.9878795546559,"Low Fat",0.071636937,"Snack Foods",121.7098,28,"OUT027","Medium","Tier 3","Supermarket Type3",4097.3332
"V11","FD",9.1,"Regular",0,"Breads",173.2054,11,"OUT045","Small","Tier 2","Supermarket Type1",3151.8972
"D17","FD",7.5,"Low Fat",0.032677678,"Frozen Foods",239.0906,14,"OUT049","Medium","Tier 1","Supermarket Type1",5942.265
"Z16","FD",16.85,"Regular",0.160760054,"Frozen Foods",192.4478,6,"OUT017","Small","Tier 2","Supermarket Type1",4843.695
"Z46","FD",7.485,"Low Fat",0.06911065,"Snack Foods",109.0228,9,"OUT035","Small","Tier 2","Supermarket Type1",2542.0244
"A12","DR",11.6,"Low Fat",0.041177505,"Soft Drinks",140.3154,6,"OUT017","Small","Tier 2","Supermarket Type1",2552.6772
"Y58","FD",11.65,"Low Fat",0.040081193,"Snack Foods",227.0694,4,"OUT018","Medium","Tier 3","Supermarket Type2",1141.847
"F19","NC",13,"Low Fat",0.035307322,"Household",47.5034,6,"OUT017","Small","Tier 2","Supermarket Type1",680.4476
"J13","DR",12.65,"Low Fat",0.063017847,"Soft Drinks",159.0578,11,"OUT045","Small","Tier 2","Supermarket Type1",2085.9514
"B14","FD",20.25,"Regular",0.171938781,"Canned",92.512,15,"OUT010","Medium","Tier 3","Grocery Store",186.424
"J38","FD",8.6,"Regular",0.040197932,"Canned",190.153,9,"OUT035","Small","Tier 2","Supermarket Type1",3036.048
"W11","FD",12.6,"Low Fat",0.049058014,"Breads",62.7194,6,"OUT017","Small","Tier 2","Supermarket Type1",866.8716
"L40","FD",17.7,"Low Fat",0.01161096,"Frozen Foods",95.041,9,"OUT035","Small","Tier 2","Supermarket Type1",868.869
"I49","DR",14.15,"Low Fat",0.183507295,"Soft Drinks",82.4276,16,"OUT046","Small","Tier 1","Supermarket Type1",1137.1864
"V38","FD",19.25,"Low Fat",0.102349519,"Dairy",52.7956,6,"OUT017","Small","Tier 2","Supermarket Type1",928.1252
"G23","DR",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,26,"OUT013","High","Tier 3","Supermarket Type1",762.341
"P30","NC",20.5,"Low Fat",0.032835147,"Household",40.2822,11,"OUT045","Small","Tier 2","Supermarket Type1",707.0796
"Y25","FD",12.3057050092764,"Low Fat",0.033809913,"Canned",180.5976,28,"OUT027","Medium","Tier 3","Supermarket Type3",7968.2944
"H54","NC",13.5,"Low Fat",0.07266912,"Household",160.292,16,"OUT046","Small","Tier 1","Supermarket Type1",1438.128
"R53","NC",13.1423139534884,"Low Fat",0.144338493,"Health and Hygiene",224.4404,28,"OUT027","Medium","Tier 3","Supermarket Type3",6976.2524
"S52","FD",8.89,"Low Fat",0.009163216,"Frozen Foods",101.7016,15,"OUT010","Medium","Tier 3","Grocery Store",101.2016
"G02","FD",7.855,"Low Fat",0.011307038,"Canned",188.5188,4,"OUT018","Medium","Tier 3","Supermarket Type2",952.094
"O26","NC",7.235,"Low Fat",0.076855628,"Household",116.0492,16,"OUT046","Small","Tier 1","Supermarket Type1",1969.4364
"H35","FD",13.6907307692308,"Low Fat",0.059956876,"Starchy Foods",165.4526,28,"OUT027","Medium","Tier 3","Supermarket Type3",5262.4832
"B51","FD",6.92,"Low Fat",0.038532062,"Dairy",60.5852,11,"OUT045","Small","Tier 2","Supermarket Type1",1314.2892
"X44","FD",9.3,"Low Fat",0.043209581,"Fruits and Vegetables",90.8172,6,"OUT017","Small","Tier 2","Supermarket Type1",535.3032
"N07","NC",18.5,"Low Fat",0.056816465,"Others",132.1284,15,"OUT010","Medium","Tier 3","Grocery Store",263.6568
"C31","NC",8.02,"Low Fat",0.019866705,"Household",154.5972,9,"OUT035","Small","Tier 2","Supermarket Type1",1402.1748
"X54","NC",9.195,"Low Fat",0.048331717,"Household",105.1622,6,"OUT017","Small","Tier 2","Supermarket Type1",1693.7952
"O55","NC",12.8,"Low Fat",0.091221855,"Others",105.5938,11,"OUT045","Small","Tier 2","Supermarket Type1",2143.876
"C30","NC",16.6,"Low Fat",0.027622076,"Household",177.6344,14,"OUT049","Medium","Tier 1","Supermarket Type1",2676.516
"I16","FD",14,"Regular",0,"Frozen Foods",53.064,9,"OUT035","Small","Tier 2","Supermarket Type1",905.488
"P16","FD",18.6,"Low Fat",0.039355947,"Frozen Foods",246.3802,14,"OUT049","Medium","Tier 1","Supermarket Type1",7370.406
"B11","FD",16,"Low Fat",0.060836524,"Starchy Foods",226.8404,9,"OUT035","Small","Tier 2","Supermarket Type1",6301.1312
"B06","NC",17.6,"Low Fat",0.082316506,"Health and Hygiene",160.692,9,"OUT035","Small","Tier 2","Supermarket Type1",1597.92
"A45","FD",21.25,"Low Fat",0.155350299,"Snack Foods",178.237,9,"OUT035","Small","Tier 2","Supermarket Type1",529.311
"O26","NC",7.235,"Low Fat",0.076841095,"Household",117.5492,9,"OUT035","Small","Tier 2","Supermarket Type1",1969.4364
"J25","DR",14.6,"Low Fat",0.151419185,"Soft Drinks",50.3692,6,"OUT017","Small","Tier 2","Supermarket Type1",1034.6532
"R28","FD",13.85,"Regular",0.026001976,"Frozen Foods",161.521,4,"OUT018","Medium","Tier 3","Supermarket Type2",1794.331
"I04","FD",13.65,"Regular",0.073209447,"Frozen Foods",197.6426,4,"OUT018","Medium","Tier 3","Supermarket Type2",2768.3964
"K12","DR",11.8474598930481,"Low Fat",0.041683481,"Soft Drinks",31.29,28,"OUT027","Medium","Tier 3","Supermarket Type3",898.83
"X20","FD",7.365,"Low Fat",0.042560252,"Fruits and Vegetables",226.172,16,"OUT046","Small","Tier 1","Supermarket Type1",3169.208
"I18","NC",18.35,"Low Fat",0.014081156,"Household",223.5746,4,"OUT018","Medium","Tier 3","Supermarket Type2",3589.9936
"B36","FD",5.465,"Regular",0,"Baking Goods",132.5626,4,"OUT018","Medium","Tier 3","Supermarket Type2",262.3252
"N13","FD",18.6,"Low Fat",0.152918384,"Breakfast",99.8358,6,"OUT017","Small","Tier 2","Supermarket Type1",1910.1802
"D24","DR",13.85,"Low Fat",0.030969274,"Soft Drinks",140.9154,6,"OUT017","Small","Tier 2","Supermarket Type1",1701.7848
"Q28","FD",14,"Regular",0.060376776,"Frozen Foods",154.5656,26,"OUT013","High","Tier 3","Supermarket Type1",2471.4496
"M22","FD",14,"Regular",0.04192285,"Snack Foods",54.764,26,"OUT013","High","Tier 3","Supermarket Type1",1331.6
"R07","FD",13.2247693817468,"Low Fat",0.077367431,"Fruits and Vegetables",97.0094,28,"OUT027","Medium","Tier 3","Supermarket Type3",1808.9786
"V25","FD",5.905,"Low Fat",0.045838211,"Canned",222.5456,4,"OUT018","Medium","Tier 3","Supermarket Type2",3315.684
"F49","DR",7.27,"Low Fat",0.071077939,"Soft Drinks",114.2518,16,"OUT046","Small","Tier 1","Supermarket Type1",2618.5914
"W51","FD",6.155,"Regular",0.094659871,"Meat",214.556,16,"OUT046","Small","Tier 1","Supermarket Type1",2769.728
"L01","DR",19.5,"Regular",0.077608838,"Soft Drinks",233.4958,6,"OUT017","Small","Tier 2","Supermarket Type1",5375.0034
"P25","FD",15.2,"Low Fat",0.021327477,"Canned",216.8824,6,"OUT017","Small","Tier 2","Supermarket Type1",2838.9712
"L50","FD",12.15,"Regular",0.042485444,"Canned",125.0046,4,"OUT018","Medium","Tier 3","Supermarket Type2",1743.0644
"B30","NC",13.3847364953887,"Low Fat",0.025578526,"Household",198.8084,28,"OUT027","Medium","Tier 3","Supermarket Type3",5555.4352
"W11","FD",12.6,"Low Fat",0.0489808,"Breads",61.9194,4,"OUT018","Medium","Tier 3","Supermarket Type2",619.194
"M43","NC",14.5,"Low Fat",0.019471688,"Others",164.821,9,"OUT035","Small","Tier 2","Supermarket Type1",2120.573
"K44","FD",16.6,"Low Fat",0.122918852,"Fruits and Vegetables",173.0738,6,"OUT017","Small","Tier 2","Supermarket Type1",3823.0236
"M15","FD",11.8,"Regular",0.057373797,"Meat",151.4366,26,"OUT013","High","Tier 3","Supermarket Type1",1360.2294
"S31","FD",13.1,"Regular",0.044155597,"Fruits and Vegetables",178.8318,26,"OUT013","High","Tier 3","Supermarket Type1",3969.4996
"I32","FD",17.7,"Low Fat",0.291865402,"Fruits and Vegetables",115.1834,15,"OUT010","Medium","Tier 3","Grocery Store",345.5502
"R47","FD",17.85,"Low Fat",0,"Breads",196.5794,15,"OUT010","Medium","Tier 3","Grocery Store",585.2382
"B35","FD",12.3,"Regular",0.064750025,"Starchy Foods",92.6804,11,"OUT045","Small","Tier 2","Supermarket Type1",1010.6844
"U05","NC",11.8,"Low Fat",0.098312421,"Health and Hygiene",81.4618,15,"OUT010","Medium","Tier 3","Grocery Store",161.1236
"Y23","DR",11.8474598930481,"Regular",0.191013663,"Soft Drinks",42.1112,28,"OUT019","Small","Tier 1","Grocery Store",42.6112
"O24","FD",11.1,"Low Fat",0.176573035,"Baking Goods",157.4604,11,"OUT045","Small","Tier 2","Supermarket Type1",3010.7476
"Q28","FD",12.867061281337,"Regular",0.060134441,"Frozen Foods",153.0656,28,"OUT027","Medium","Tier 3","Supermarket Type3",6024.1584
"V39","FD",11.3,"Low Fat",0.007294652,"Meat",198.1426,11,"OUT045","Small","Tier 2","Supermarket Type1",988.713
"O17","NC",13.1423139534884,"Low Fat",0.128478462,"Health and Hygiene",117.944,28,"OUT019","Small","Tier 1","Grocery Store",239.688
"U50","FD",5.75,"Regular",0.075107656,"Dairy",112.8176,26,"OUT013","High","Tier 3","Supermarket Type1",1374.2112
"T12","FD",12.2771082089552,"Regular",0.049381406,"Baking Goods",226.8062,28,"OUT027","Medium","Tier 3","Supermarket Type3",4739.8302
"K58","FD",11.35,"Regular",0.045165796,"Snack Foods",100.0016,4,"OUT018","Medium","Tier 3","Supermarket Type2",1012.016
"O08","FD",13.2247693817468,"Regular",0.09415375,"Fruits and Vegetables",165.7526,28,"OUT019","Small","Tier 1","Grocery Store",657.8104
"W29","NC",14,"Low Fat",0.028907832,"Health and Hygiene",130.431,14,"OUT049","Medium","Tier 1","Supermarket Type1",778.986
"E04","FD",19.75,"Regular",0.018059621,"Frozen Foods",179.766,11,"OUT045","Small","Tier 2","Supermarket Type1",2336.958
"B19","NC",6.525,"Low Fat",0.090436094,"Household",85.0882,14,"OUT049","Medium","Tier 1","Supermarket Type1",2233.0932
"V15","FD",10.3,"Low Fat",0.146399712,"Meat",103.9648,14,"OUT049","Medium","Tier 1","Supermarket Type1",1661.8368
"L58","FD",5.78,"Regular",0.074264356,"Snack Foods",264.7568,14,"OUT049","Medium","Tier 1","Supermarket Type1",4745.8224
"A08","FD",11.85,"Regular",0.050186726,"Fruits and Vegetables",164.1526,11,"OUT045","Small","Tier 2","Supermarket Type1",3124.5994
"T43","FD",16.35,"Low Fat",0.020631654,"Fruits and Vegetables",50.1324,4,"OUT018","Medium","Tier 3","Supermarket Type2",467.3916
"X06","NC",13.3847364953887,"Low Fat",0.01561108,"Household",182.5976,28,"OUT027","Medium","Tier 3","Supermarket Type3",5070.7328
"T20","FD",10.5,"Low Fat",0.041395445,"Fruits and Vegetables",37.6164,16,"OUT046","Small","Tier 1","Supermarket Type1",540.6296
"B41","FD",19,"Regular",0.097313129,"Frozen Foods",48.0718,16,"OUT046","Small","Tier 1","Supermarket Type1",992.7078
"N55","NC",14.6,"Low Fat",0.059582996,"Others",238.8538,14,"OUT049","Medium","Tier 1","Supermarket Type1",6008.845
"E40","FD",13.4260689045936,"Regular",0.098663652,"Dairy",62.9194,28,"OUT027","Medium","Tier 3","Supermarket Type3",2105.2596
"X49","FD",12.3057050092764,"Regular",0.101338651,"Canned",232.63,28,"OUT027","Medium","Tier 3","Supermarket Type3",5359.69
"M53","NC",18.75,"Low Fat",0.052146456,"Health and Hygiene",104.628,11,"OUT045","Small","Tier 2","Supermarket Type1",745.696
"E36","FD",5.26,"Regular",0.041764487,"Baking Goods",161.8868,9,"OUT035","Small","Tier 2","Supermarket Type1",3275.736
"N57","FD",18.25,"Low Fat",0.054344186,"Snack Foods",140.2154,11,"OUT045","Small","Tier 2","Supermarket Type1",1701.7848
